100
2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
12 68 82 91 3 70 16 5 77 53 76 58 35 90 65 23 74 51 86 78 84 15 80 29 73 88 64 61 14 66 6 44 18 26 96 37 1 32 20 28 59 99 42 75 55 11 54 21 87 63 71 24 46 45 79 33 10 9 56 92 49 67 100 81 4 62 48 34 36 7 89 52 60 8 43 93 69 85 57 41 95 25 83 94 13 50 30 72 47 38 97 40 39 19 22 98 17 31 2 27 
99 12 58 37 48 47 87 88 22 20 76 31 78 97 83 4 29 7 54 64 67 43 45 46 11 77 38 2 81 93 66 52 15 92 86 21 89 6 63 71 13 28 91 100 61 95 68 53 25 16 33 18 49 14 1 56 69 44 74 79 10 40 90 82 19 32 39 55 36 3 27 30 9 8 57 80 51 59 50 17 5 75 35 26 85 84 62 41 73 34 65 94 98 70 42 72 60 23 24 96 
66 73 100 47 97 62 19 74 29 20 5 55 81 90 52 18 57 80 44 94 79 78 54 53 37 64 4 70 50 15 88 34 9 36 95 41 77 42 26 76 86 8 99 43 69 58 51 7 1 38 22 40 46 89 3 63 39 25 28 48 12 93 6 82 59 72 33 11 60 96 13 92 87 2 56 27 68 61 23 17 98 85 24 75 14 32 30 84 65 49 16 45 31 67 21 35 10 83 91 71 
14 86 66 44 21 59 87 57 24 46 75 91 71 65 63 2 85 16 76 79 32 68 81 100 27 74 4 37 53 7 82 8 36 55 35 38 29 93 13 6 90 58 11 12 25 83 43 50 49 30 67 15 3 41 45 69 9 78 95 26 28 73 61 47 60 56 97 88 99 23 62 92 80 70 20 39 5 31 98 51 89 17 42 10 54 22 34 72 77 48 84 19 33 1 94 40 64 96 18 52 
26 18 24 7 98 74 30 1 94 50 64 47 92 66 57 3 37 67 54 70 65 16 22 77 51 23 49 86 85 80 91 4 72 29 28 5 58 96 12 46 39 32 99 76 40 11 71 38 21 10 59 31 100 43 17 88 53 20 73 81 9 68 48 25 52 8 90 62 55 35 13 63 19 95 6 61 56 33 36 84 34 83 42 2 45 97 78 93 27 15 44 60 87 79 41 69 75 14 89 82 
85 50 6 1 34 53 61 19 55 36 33 48 4 67 68 94 76 88 91 90 17 27 77 84 9 13 38 44 5 52 89 2 57 8 18 10 12 93 47 23 96 14 16 64 75 58 49 62 30 99 26 25 51 37 71 69 42 83 20 73 28 63 70 7 15 35 72 59 82 41 86 22 60 81 65 43 100 21 45 56 98 31 66 29 95 32 87 24 3 97 92 11 74 80 79 54 78 40 46 39 
70 95 2 25 1 91 8 44 6 16 40 65 75 42 27 79 73 61 66 82 22 83 64 97 48 38 52 100 37 20 56 63 62 99 86 49 17 32 7 34 10 28 87 93 21 13 94 11 60 46 29 45 39 3 26 92 69 59 4 71 58 15 50 77 31 53 68 24 89 36 67 9 41 35 88 55 30 51 76 81 12 96 74 33 84 85 80 5 54 19 43 72 14 90 23 18 47 98 78 57 
28 63 66 42 7 70 44 19 24 50 90 4 48 1 43 33 13 58 87 93 75 30 9 49 35 62 92 21 22 89 80 51 27 10 15 77 72 83 14 81 12 29 73 96 25 18 16 79 71 39 60 47 37 5 86 67 57 3 82 56 41 61 76 98 69 74 88 38 31 36 99 8 40 64 26 100 45 91 65 23 55 52 20 53 68 59 34 95 2 11 97 6 32 54 94 46 85 17 78 84 
28 87 97 86 88 19 81 65 70 14 4 45 96 54 36 22 76 43 15 42 91 38 83 41 55 69 6 71 33 73 12 11 49 57 78 95 72 90 85 53 37 8 3 59 26 74 48 94 60 47 9 1 80 7 89 61 56 16 25 10 58 62 27 29 34 51 21 100 68 39 2 20 64 18 40 23 31 79 92 32 82 84 17 44 66 35 75 50 98 93 67 13 24 99 63 30 5 46 52 77 
30 2 68 99 3 56 75 1 73 32 8 13 72 82 57 87 64 7 42 94 90 97 22 16 50 41 37 60 47 83 91 21 39 62 29 19 48 4 26 61 86 20 63 45 43 100 14 80 78 96 9 77 25 81 51 55 98 70 92 74 67 85 76 12 5 34 33 31 52 46 65 66 35 44 79 53 18 54 58 88 71 84 93 89 95 15 40 59 69 24 38 36 28 49 10 23 6 17 11 27 
90 99 27 15 5 69 2 74 72 75 45 60 4 76 36 54 10 65 30 50 67 91 43 93 62 9 89 40 84 7 28 73 39 78 92 52 13 42 88 8 6 71 66 21 12 63 49 18 80 46 57 35 34 17 11 83 24 26 56 82 53 100 3 59 85 23 79 68 16 81 29 58 98 95 38 20 48 96 47 97 19 37 25 87 14 64 61 22 1 77 31 32 51 33 44 70 94 55 41 86 
60 56 63 22 66 33 3 88 2 80 18 13 25 72 67 79 92 19 30 70 48 46 89 82 39 76 94 83 6 26 49 40 29 62 90 41 54 53 28 95 38 43 50 37 51 100 45 52 61 71 4 24 97 98 57 21 20 47 1 55 81 44 69 93 27 87 36 68 75 59 73 5 15 8 17 42 85 34 32 65 86 99 78 96 11 77 16 12 9 74 14 91 64 35 23 58 84 31 10 7 
90 86 44 75 84 100 97 57 73 54 4 48 74 63 3 8 52 22 23 26 6 89 32 13 58 51 18 47 96 94 2 50 10 17 78 7 56 70 53 42 24 5 68 92 45 85 9 38 80 62 49 81 1 46 34 60 11 88 15 40 29 16 30 55 19 33 91 66 36 83 14 76 41 93 69 65 27 39 61 98 35 99 21 20 28 64 87 79 59 95 31 67 71 12 43 82 72 77 25 37 
38 96 30 81 11 83 56 50 67 54 18 33 13 40 44 32 46 65 45 94 26 41 93 79 25 92 70 60 95 12 61 77 10 8 72 47 88 36 78 20 34 4 39 100 99 97 62 76 66 64 28 53 43 51 91 1 14 59 85 55 17 80 75 15 58 5 9 63 74 2 16 89 49 19 68 84 73 24 23 52 87 6 90 22 98 86 42 29 31 37 35 57 69 71 27 48 3 7 21 82 
7 23 50 17 8 15 100 68 1 83 25 93 96 47 5 9 13 28 16 94 92 65 59 12 76 30 6 57 79 29 95 70 91 82 62 24 46 60 41 2 27 85 73 54 4 35 52 66 67 81 74 11 75 84 53 64 19 86 88 63 22 14 49 18 98 37 77 89 40 33 61 99 26 97 34 10 71 55 42 39 38 58 31 20 80 21 72 51 48 90 78 32 56 3 44 45 43 69 87 36 
29 89 34 49 54 17 2 55 92 16 33 35 19 7 90 9 63 14 82 76 99 15 91 44 26 36 72 50 30 64 71 22 67 21 47 86 62 11 20 80 94 23 69 57 48 84 74 45 39 85 87 6 66 78 79 61 81 25 88 65 24 56 95 32 38 46 77 83 53 8 40 12 13 59 98 73 37 1 28 10 93 18 43 27 4 100 42 51 68 58 41 3 97 52 5 75 31 60 70 96 
17 10 77 93 59 67 19 96 68 66 2 64 60 8 42 29 1 78 43 50 48 75 56 69 53 44 57 15 35 84 22 70 58 40 3 7 21 63 32 38 71 61 74 82 80 9 31 18 97 79 94 23 41 12 13 16 86 37 33 26 11 28 55 34 87 72 47 89 88 83 90 100 24 51 76 14 27 39 62 81 36 91 46 45 49 65 52 98 85 95 92 20 73 4 6 99 25 5 30 54 
94 79 93 100 37 42 27 52 11 22 77 91 9 19 81 44 64 31 30 29 51 5 57 80 36 38 50 66 92 90 26 7 18 34 95 67 82 55 46 78 84 14 88 87 97 83 13 68 53 2 86 72 70 41 75 40 25 6 15 28 3 49 12 69 1 8 99 48 61 54 58 39 76 33 73 43 17 23 71 21 98 62 63 20 4 56 45 85 47 32 59 74 89 10 60 96 24 16 65 35 
27 17 88 47 37 95 64 94 40 74 25 54 36 14 77 22 21 33 59 55 80 71 82 93 20 67 23 51 99 91 15 3 89 65 62 34 39 8 78 96 6 85 61 24 44 30 38 66 10 28 72 84 2 31 16 57 9 7 63 79 83 49 35 50 1 19 98 69 18 26 41 52 97 11 12 76 58 86 45 68 48 5 75 60 13 53 87 32 46 29 90 43 4 100 42 56 73 92 81 70 
57 20 45 59 100 51 76 66 9 87 10 55 1 24 33 62 65 75 11 44 64 18 86 13 12 78 91 27 31 54 43 28 53 14 58 80 82 81 23 29 70 34 21 46 3 4 38 16 52 90 41 49 40 5 56 6 47 94 98 74 68 85 30 35 50 84 7 39 61 69 25 8 88 26 71 89 96 37 60 92 73 97 22 2 67 83 19 72 63 79 42 36 15 95 32 17 93 77 99 48 
28 6 15 65 23 3 44 9 31 50 19 12 94 89 58 57 59 84 13 80 92 18 41 78 25 71 42 39 17 62 74 67 36 33 66 40 88 37 87 81 51 49 8 86 22 32 30 68 79 63 53 21 69 43 20 10 27 16 60 91 26 64 45 96 48 82 90 7 73 29 95 1 11 97 4 5 38 47 75 83 56 14 52 46 35 54 100 2 76 85 93 77 99 61 72 55 24 98 34 70 
80 68 82 93 45 24 22 32 12 15 54 1 6 35 39 62 7 27 16 20 89 21 63 47 81 95 65 64 59 30 86 52 18 94 41 4 85 84 31 92 17 51 36 25 3 49 43 79 78 90 19 61 66 91 8 13 100 71 46 57 72 40 48 44 97 28 77 74 33 9 23 87 50 88 60 38 55 69 75 56 29 5 53 70 76 26 37 34 99 11 10 83 96 58 73 2 67 98 14 42 
62 46 50 57 87 44 85 63 68 13 83 39 81 82 1 21 49 43 74 32 61 96 92 51 8 48 90 52 23 3 76 20 56 5 60 35 40 22 10 54 94 47 53 12 65 37 72 80 78 26 45 17 33 91 14 73 7 89 99 55 42 93 25 6 59 16 11 24 71 38 34 95 58 98 41 70 27 18 88 77 31 69 97 4 30 67 79 19 28 75 36 66 29 15 2 64 9 100 84 86 
29 38 12 58 68 10 73 83 3 32 61 25 62 74 96 80 45 52 41 93 82 95 53 77 63 21 98 11 64 89 70 15 4 47 22 43 18 84 88 86 26 35 27 23 49 72 79 1 57 37 17 50 6 33 34 31 28 44 99 56 75 66 59 71 5 85 65 9 13 14 2 91 67 46 92 8 42 40 94 19 30 60 76 20 51 55 97 39 7 100 24 90 78 69 87 81 16 48 54 36 
36 93 62 95 71 73 76 18 5 38 50 98 66 97 32 39 20 84 49 56 28 26 53 87 27 37 11 68 65 43 34 55 64 2 48 78 83 30 57 16 80 47 14 91 54 44 7 60 22 33 25 31 100 86 82 51 69 52 8 99 96 12 70 89 41 85 61 58 19 17 75 40 10 79 21 35 63 3 74 88 45 13 1 90 15 24 59 67 72 94 6 46 23 77 4 92 81 42 29 9 
50 42 47 32 96 21 26 30 31 33 80 5 53 39 43 87 93 13 65 55 84 29 25 66 36 27 75 34 97 95 2 59 12 18 49 19 73 76 37 83 24 92 15 40 61 98 22 10 38 78 86 79 20 11 71 1 6 100 3 88 82 68 94 7 99 41 46 14 16 60 9 62 74 57 89 56 70 51 17 48 4 90 64 69 28 8 81 58 23 67 77 45 52 63 85 91 54 44 35 72 
81 88 5 20 19 16 27 50 71 55 84 28 41 56 89 18 76 58 46 95 21 54 59 45 66 85 57 93 82 40 92 65 17 53 94 90 43 96 72 38 97 33 13 64 23 22 48 36 70 32 15 74 60 3 91 12 80 75 62 68 49 11 1 73 52 51 31 10 9 29 99 39 44 34 6 7 79 83 77 67 47 100 69 78 42 87 30 2 26 24 61 8 35 25 37 4 63 86 14 98 
18 53 2 20 81 37 92 86 40 46 97 63 9 31 57 29 22 80 74 11 79 19 51 50 62 39 26 67 25 13 33 60 55 34 41 36 8 7 12 45 23 32 59 64 44 10 1 5 84 100 58 14 89 61 30 28 16 93 66 47 73 98 68 77 88 43 72 85 94 48 15 4 38 52 90 3 42 99 70 83 82 69 27 56 49 65 21 91 95 6 78 76 75 87 17 71 35 96 54 24 
53 55 75 81 93 77 95 73 35 50 14 60 44 27 97 13 18 92 12 40 23 15 36 72 3 47 25 17 19 51 34 52 86 57 79 33 38 64 74 24 61 82 68 49 70 11 91 71 98 39 78 9 4 56 87 7 85 76 28 32 54 2 41 69 43 42 89 5 10 21 66 29 96 59 1 8 31 48 37 6 62 90 80 83 58 100 84 46 16 99 94 88 63 22 65 67 20 30 45 26 
59 40 46 22 80 50 51 60 86 56 4 41 64 6 65 21 70 74 20 44 7 62 16 12 85 97 53 30 34 36 3 9 76 89 2 26 47 82 38 57 39 5 52 63 61 55 27 48 24 96 54 45 8 17 72 78 42 25 58 37 10 75 49 32 90 29 98 11 92 19 79 83 84 28 66 73 15 81 94 87 88 33 77 13 18 68 71 1 93 95 100 43 67 69 35 99 14 23 91 31 
20 33 4 3 85 51 56 28 54 47 93 12 41 37 58 74 91 27 5 100 68 82 83 49 10 16 18 94 7 30 96 72 25 76 2 73 87 32 11 81 95 57 26 99 38 75 89 6 40 15 64 42 62 19 71 43 23 17 36 98 66 31 21 84 61 70 1 46 14 50 59 86 92 60 88 8 45 90 78 65 29 22 69 97 13 34 77 52 35 67 9 63 44 24 48 39 55 80 79 53 
15 34 97 11 37 50 6 32 53 7 39 14 25 52 8 55 99 88 48 73 63 94 56 81 5 40 58 45 23 76 26 61 17 19 38 89 67 82 59 80 22 2 47 30 60 62 93 20 83 3 49 36 44 57 64 90 69 41 10 33 9 43 12 46 4 72 68 85 1 95 77 75 35 27 31 66 91 70 29 100 16 78 24 51 28 79 74 86 21 92 54 71 65 42 96 13 84 87 18 98 
6 45 66 32 65 41 53 18 10 61 19 79 74 69 31 100 11 27 22 89 72 99 37 29 93 51 94 23 73 2 67 28 83 9 46 57 13 56 63 50 42 90 35 21 43 16 95 59 30 4 24 25 91 70 26 34 87 98 36 5 96 14 77 17 76 75 15 81 3 97 86 78 92 85 71 7 58 80 12 88 38 1 33 44 64 60 62 54 8 40 68 47 49 82 84 48 52 55 20 39 
61 48 57 68 26 46 21 11 28 77 88 92 40 98 19 32 75 31 71 67 96 73 10 76 18 13 29 35 59 38 91 50 78 85 9 82 70 80 15 54 27 14 36 4 42 99 60 52 94 25 83 79 39 53 6 12 17 93 20 1 22 84 3 37 55 81 8 30 5 47 43 63 87 69 44 64 41 100 34 90 86 72 7 24 97 95 23 89 45 74 51 49 16 66 58 33 62 65 2 56 
99 77 82 90 52 13 71 27 63 95 16 26 20 14 42 50 86 41 10 5 30 73 59 85 11 46 76 40 87 91 65 32 29 79 61 45 70 60 36 57 6 88 39 12 56 17 75 44 35 21 7 25 34 8 96 2 37 78 19 1 72 53 62 24 89 64 15 84 33 81 43 67 66 83 54 80 97 51 31 22 47 98 74 93 23 69 9 94 55 28 18 58 68 100 38 49 92 48 4 3 
97 82 52 59 5 9 36 71 18 80 64 28 81 22 26 49 43 83 90 38 91 6 78 55 51 75 19 30 29 3 10 89 53 57 70 46 37 96 40 69 32 7 41 67 15 63 44 45 60 20 85 16 88 56 66 39 23 2 17 24 48 76 74 73 4 14 79 68 1 61 50 77 27 35 62 21 72 93 54 92 34 25 12 100 8 86 99 94 33 11 87 65 58 98 31 47 13 95 84 42 
93 51 1 84 88 98 72 94 23 25 27 59 43 70 17 32 69 62 31 73 41 34 14 10 15 80 71 26 30 40 42 89 21 81 5 20 16 100 33 11 4 90 18 39 61 96 74 6 49 86 65 82 12 37 29 91 83 45 3 87 22 56 35 77 54 7 36 76 60 13 97 9 8 66 95 68 44 57 50 53 52 78 47 99 75 38 92 58 19 64 48 79 46 67 55 85 24 63 2 28 
57 9 80 6 25 41 26 89 70 52 74 67 46 77 68 56 32 63 39 1 71 23 73 92 27 98 62 85 43 2 79 17 16 75 94 76 69 30 12 11 44 18 49 58 78 64 10 90 15 81 97 87 29 20 82 84 7 60 8 55 54 40 4 13 45 19 14 86 95 83 65 42 38 48 35 99 50 96 36 93 5 72 37 3 31 53 33 34 66 91 47 28 22 51 24 61 59 100 21 88 
97 73 19 70 99 6 63 71 43 60 52 57 44 74 25 9 87 54 64 17 21 77 27 20 28 58 89 37 92 81 62 38 4 41 18 22 24 50 40 13 98 91 67 42 56 15 3 7 65 45 78 83 8 10 72 32 5 1 23 93 96 55 88 34 85 30 33 12 2 36 75 49 100 59 66 51 90 14 76 94 82 84 39 16 48 79 47 35 53 95 68 80 86 46 11 29 31 69 61 26 
51 87 69 11 20 1 75 53 72 58 25 40 91 33 24 27 94 67 45 100 88 89 82 55 77 15 37 63 59 7 2 96 6 47 56 44 19 8 49 48 79 80 38 39 95 26 97 17 43 73 65 83 54 68 5 98 32 61 74 29 90 57 10 99 41 42 52 84 93 13 14 78 85 92 66 36 21 16 4 3 64 76 28 22 23 9 35 60 50 86 31 81 30 46 71 18 12 62 34 70 
31 15 21 53 95 71 28 14 47 42 13 51 56 81 65 93 44 1 11 63 23 58 69 49 77 6 86 7 92 33 10 29 91 45 4 50 83 12 34 57 30 62 46 19 17 85 8 2 48 40 18 55 54 64 89 3 66 87 24 22 67 73 60 79 97 52 61 27 35 90 20 94 78 98 38 32 9 16 59 96 43 99 25 5 70 26 100 75 82 76 74 36 80 88 68 84 39 41 72 37 
37 82 39 73 95 49 53 13 56 6 94 100 77 68 55 50 32 88 63 58 66 64 83 99 72 26 4 87 23 69 34 74 3 30 8 14 10 25 79 81 46 57 47 85 86 51 9 89 84 31 12 80 20 29 52 42 48 21 35 40 16 38 28 15 96 1 67 43 75 59 24 90 18 36 76 65 70 61 71 22 60 54 92 45 17 98 7 19 41 11 33 62 5 97 27 91 44 78 93 2 
42 23 68 76 80 19 85 58 17 60 36 63 66 93 20 86 14 28 43 65 30 97 82 52 24 51 95 99 59 54 90 73 8 10 37 16 74 29 50 38 55 46 56 69 3 64 44 41 32 78 92 47 6 9 27 4 91 70 26 35 11 83 45 22 87 96 79 40 2 33 62 21 100 15 48 77 81 71 98 67 39 7 31 57 5 18 94 25 84 34 88 89 13 61 53 75 1 12 49 72 
56 57 68 4 54 35 10 30 5 61 65 39 21 27 13 96 71 47 17 9 80 59 86 43 85 8 46 3 82 72 25 50 55 42 29 76 87 32 44 60 49 19 31 70 36 93 73 53 34 22 64 16 41 51 78 15 98 100 83 58 28 38 89 52 92 62 84 69 23 33 99 48 95 94 6 45 67 90 97 1 26 18 14 81 66 37 77 75 91 2 7 63 20 24 79 12 40 88 11 74 
59 18 77 51 36 49 29 63 53 61 85 99 74 13 4 97 16 89 14 9 39 3 55 19 32 6 57 44 81 28 17 1 68 21 78 25 58 31 82 27 56 98 45 90 70 11 54 88 24 38 64 69 20 5 76 26 35 48 67 37 66 46 60 40 15 91 96 79 86 93 73 30 10 100 23 43 50 8 33 80 71 84 41 12 72 2 75 92 83 34 62 94 42 22 47 87 7 65 52 95 
44 91 84 4 16 23 67 92 90 50 18 49 39 74 11 20 19 5 80 32 14 58 98 48 60 95 47 86 93 57 46 1 54 61 21 85 89 6 31 64 42 72 33 25 88 63 65 3 41 75 82 100 71 37 22 28 68 56 38 24 36 52 45 81 73 51 99 8 83 2 9 59 40 97 27 30 55 96 29 43 70 26 66 10 76 13 17 79 34 15 94 53 87 7 62 77 35 69 78 12 
25 96 3 55 56 80 78 18 67 51 7 50 87 60 16 81 63 85 48 31 21 1 91 40 69 24 62 94 54 34 13 42 73 68 45 43 70 32 77 41 49 30 20 47 79 4 29 35 90 71 19 88 17 2 97 74 65 95 66 11 15 27 99 100 93 46 10 28 26 14 9 59 83 44 64 72 92 57 53 82 75 38 76 6 8 12 98 22 33 5 84 61 58 39 86 52 37 23 36 89 
11 99 84 69 4 55 31 13 81 64 34 54 18 98 95 83 23 61 19 48 27 89 9 68 40 25 15 73 63 74 76 82 59 96 39 30 2 87 67 28 12 32 52 66 62 22 79 60 75 100 88 16 10 97 6 21 29 51 33 80 70 37 93 8 71 14 49 42 20 53 3 85 7 90 46 47 35 56 50 45 92 38 72 41 65 77 78 36 5 43 26 58 91 86 17 44 1 57 24 94 
41 57 51 12 40 91 30 9 27 24 83 78 26 76 99 62 44 43 18 75 81 49 66 70 55 31 36 97 54 67 25 19 74 79 47 5 28 6 72 16 64 65 38 52 42 87 1 95 3 82 15 50 4 20 53 11 68 7 13 85 94 63 89 100 56 59 93 69 29 22 84 46 86 90 39 8 60 96 71 58 37 48 10 34 73 17 88 32 92 61 14 77 33 98 45 23 35 2 80 21 
86 42 20 87 85 79 44 59 4 27 57 92 12 89 96 33 10 6 38 22 75 29 5 68 3 11 58 51 62 26 99 8 49 93 63 37 70 66 39 28 34 50 91 13 77 1 25 36 69 95 65 19 97 60 100 72 82 56 47 88 73 18 80 84 30 64 90 52 78 15 35 67 40 41 61 7 74 2 16 24 81 43 31 17 83 9 76 54 98 71 53 32 55 46 21 23 94 14 48 45 
18 9 100 96 10 77 65 72 52 87 93 4 12 90 86 70 60 29 73 33 62 79 3 37 42 36 43 64 84 44 17 23 55 38 8 99 54 25 28 27 40 80 81 67 82 69 94 5 85 76 71 83 47 95 68 48 91 32 89 45 74 92 22 41 50 78 53 49 88 59 1 6 31 46 39 2 20 66 11 58 16 75 98 24 51 13 30 26 14 7 61 97 57 19 56 21 63 35 15 34 
