60
1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
16 8 59 12 20 7 9 32 28 30 44 27 1 13 47 23 22 2 10 40 50 36 60 24 4 18 45 35 17 5 29 37 52 46 19 14 31 57 11 54 33 39 38 42 25 34 49 26 48 3 21 6 15 56 55 51 53 58 41 43 
7 41 59 35 44 11 28 48 8 31 17 58 15 3 22 18 10 9 13 53 55 40 5 56 23 38 60 46 25 12 57 36 43 50 39 37 1 14 52 47 51 24 20 19 32 45 49 6 26 27 42 4 34 16 21 30 2 29 54 33 
29 52 8 54 44 45 16 26 33 36 22 1 4 47 5 50 27 19 60 56 9 43 7 15 53 57 48 38 37 49 18 32 30 23 2 34 3 10 12 59 24 55 58 25 35 13 42 17 46 28 14 41 40 21 39 51 20 6 31 11 
10 2 60 47 32 13 33 54 7 31 41 1 29 36 53 50 12 30 24 51 35 44 37 8 26 9 27 42 40 45 38 11 25 5 55 34 49 15 21 23 22 3 4 17 58 6 46 48 20 52 19 18 16 43 39 57 28 59 14 56 
59 41 1 57 17 3 39 23 26 29 5 35 47 31 30 56 14 7 49 19 44 58 33 50 6 25 27 51 15 4 10 28 55 43 11 32 34 16 46 54 60 18 53 52 12 9 20 36 40 45 21 8 22 13 48 24 38 37 2 42 
35 10 3 37 21 39 26 6 43 57 18 48 58 46 5 45 25 9 51 19 22 42 53 33 50 7 27 2 1 56 36 14 31 4 44 24 20 54 52 59 49 16 41 34 8 12 15 55 13 23 28 30 60 11 47 40 38 17 29 32 
13 22 32 4 23 42 18 20 11 49 59 16 27 47 33 19 43 8 36 28 9 35 7 57 5 56 46 29 1 37 50 12 6 38 26 24 14 25 53 58 15 44 40 34 48 54 10 55 31 41 30 45 3 21 39 2 51 52 17 60 
48 51 55 46 40 49 24 30 41 36 3 22 4 19 35 47 21 50 27 18 31 52 34 57 5 38 59 53 9 44 32 23 10 26 28 45 60 7 15 56 54 12 2 20 58 13 1 25 8 43 42 11 17 6 39 16 29 33 14 37 
45 43 9 26 46 38 55 57 56 58 25 20 1 18 29 8 11 5 39 40 6 48 16 54 2 14 53 34 12 37 23 59 31 3 24 10 60 19 28 32 44 22 47 49 15 52 36 27 42 7 21 17 51 30 50 33 4 13 35 41 
50 14 2 20 22 30 15 18 11 10 3 13 17 53 44 52 16 32 45 34 54 49 48 26 36 46 27 12 9 60 5 29 41 6 38 8 23 59 37 57 4 42 39 35 43 31 40 51 28 21 19 55 47 58 24 56 7 1 33 25 
19 45 35 59 7 46 54 31 6 23 48 24 28 47 22 21 56 13 29 27 17 51 55 9 32 1 2 30 38 40 58 50 15 43 39 57 12 10 36 49 5 8 42 52 41 16 18 25 37 26 11 33 3 60 14 53 4 34 44 20 
28 53 12 33 35 21 11 60 7 45 46 25 44 18 34 40 14 43 3 15 49 4 1 32 30 8 31 6 36 38 56 59 52 13 50 39 5 47 19 20 10 48 2 17 24 55 37 42 41 29 22 16 57 26 51 9 58 54 27 23 
29 6 19 42 33 50 22 39 18 53 55 32 27 52 41 48 49 40 54 21 56 57 13 5 1 4 60 36 26 10 28 11 37 25 20 16 8 35 15 51 44 30 2 45 31 7 24 38 17 34 9 43 3 59 47 46 14 58 23 12 
52 49 29 33 35 40 20 14 15 60 54 21 13 34 55 31 58 9 2 41 56 53 24 39 57 11 25 10 12 7 23 16 47 43 45 22 48 44 42 27 59 1 30 6 17 3 28 50 18 51 26 36 38 37 8 5 4 46 19 32 
47 23 51 49 44 45 38 60 25 48 52 24 27 28 20 55 33 7 54 37 16 6 41 8 58 11 3 35 50 21 4 1 5 19 34 22 43 53 32 26 12 10 40 59 14 13 31 39 15 17 36 2 57 30 29 18 42 46 9 56 
11 32 42 58 15 51 29 5 48 38 46 44 26 30 34 36 3 45 28 35 19 25 2 7 37 21 41 13 33 50 52 31 16 1 22 54 47 23 49 17 43 10 27 39 6 53 12 60 8 18 40 24 9 55 56 4 20 57 14 59 
22 43 57 12 55 8 32 18 31 11 29 33 27 41 46 53 58 54 17 49 28 51 35 36 37 42 30 38 3 16 24 5 59 10 20 4 6 2 40 60 34 21 45 13 52 25 26 47 1 56 23 19 15 44 50 7 48 39 14 9 
43 54 27 41 1 34 49 24 44 48 21 14 30 50 52 4 33 40 56 45 58 51 16 55 47 59 19 17 2 13 46 32 10 12 5 38 7 60 3 53 39 29 28 25 11 20 37 23 26 42 18 6 9 57 31 36 8 22 15 35 
32 57 31 45 38 55 52 1 9 18 41 51 36 4 8 59 16 48 23 2 26 39 21 20 22 34 44 13 28 54 49 29 25 15 27 60 37 42 17 58 53 6 19 3 12 56 46 10 43 30 47 5 35 50 40 33 7 11 24 14 
24 31 58 54 36 15 5 52 42 12 35 1 20 8 38 7 45 56 27 22 30 60 50 55 9 18 34 16 26 53 3 33 4 43 10 32 37 59 17 28 13 44 40 48 19 51 46 47 39 11 2 25 29 41 21 49 23 6 57 14 
9 49 17 39 56 28 7 40 32 54 50 60 45 48 23 4 27 13 51 20 46 3 15 24 18 55 35 19 42 10 37 12 2 29 14 30 58 47 53 44 38 41 36 52 43 22 5 16 21 11 59 8 25 57 33 31 26 6 1 34 
30 31 48 50 42 44 37 25 4 5 29 22 11 33 55 45 10 20 13 18 36 1 32 49 9 19 39 51 2 56 38 28 3 15 58 16 52 6 35 40 27 21 47 41 23 8 26 43 54 46 17 34 59 12 57 60 53 7 24 14 
21 36 60 52 14 27 51 1 56 34 13 57 31 26 29 48 15 17 38 4 28 32 50 43 16 11 54 23 46 6 19 9 20 8 12 33 7 55 2 37 22 47 44 25 5 58 30 49 24 53 10 40 42 39 35 3 41 59 45 18 
21 45 31 51 6 10 53 57 39 34 17 52 42 29 16 1 13 40 24 3 18 60 26 23 33 25 15 2 56 19 4 49 54 8 22 36 5 43 58 7 27 50 55 11 38 14 12 44 46 30 48 9 32 35 20 37 28 47 59 41 
1 56 18 58 11 9 25 27 50 32 42 33 2 8 54 12 39 36 5 15 30 21 51 6 45 57 46 20 22 52 60 59 14 17 10 48 38 4 49 26 43 23 53 13 7 28 31 41 34 47 24 29 37 44 19 55 16 40 3 35 
25 13 41 30 53 51 58 56 31 11 50 59 23 27 44 5 38 33 4 7 54 21 34 55 1 22 24 37 32 16 28 19 42 17 18 52 45 14 12 49 10 15 35 39 60 29 3 48 6 57 36 8 43 26 47 20 46 40 2 9 
42 48 58 4 54 9 32 44 23 59 11 1 45 28 34 8 43 27 40 35 17 12 3 5 13 31 60 26 37 50 53 47 51 15 29 25 2 21 18 39 24 41 6 36 30 49 52 46 20 56 33 14 38 10 22 16 7 57 55 19 
22 12 16 24 39 4 29 25 52 2 43 6 33 13 46 1 19 38 36 15 17 51 32 20 5 42 58 53 50 44 7 40 11 23 49 56 59 41 3 31 48 27 47 21 28 14 57 9 34 55 26 60 10 54 18 37 8 35 45 30 
37 26 2 23 46 30 18 40 33 5 55 9 17 20 11 50 49 41 35 15 56 6 16 19 51 27 58 45 42 34 44 25 22 47 59 43 3 1 38 48 31 21 29 12 4 39 24 8 36 7 32 54 28 53 57 10 52 60 14 13 
2 13 46 26 19 20 45 23 54 36 21 59 24 53 8 44 1 17 38 41 40 25 6 10 15 9 42 7 58 4 28 37 32 57 33 49 43 48 16 55 31 60 56 29 3 52 30 51 34 11 14 12 47 18 5 35 39 50 22 27 
17 6 19 39 24 23 57 51 40 56 21 7 29 38 22 15 47 31 59 14 30 33 5 48 34 4 32 46 9 12 43 25 3 49 20 58 1 36 13 8 54 2 55 26 60 10 44 27 41 35 16 45 42 52 28 37 50 18 53 11 
19 7 36 47 3 39 33 59 20 52 28 48 43 4 1 46 32 42 25 35 30 9 40 57 2 13 38 6 51 45 29 8 44 31 22 53 27 5 58 34 26 10 60 18 55 50 56 15 11 16 37 14 49 21 54 23 24 12 17 41 
12 60 27 37 8 35 30 31 50 28 4 38 48 22 13 18 1 58 19 2 45 5 29 54 32 25 56 39 49 59 46 53 9 57 43 52 24 33 36 15 40 10 16 20 47 42 44 26 41 23 34 3 14 17 55 21 11 51 7 6 
20 51 22 37 58 2 19 34 13 17 54 55 49 4 59 46 3 41 47 32 7 29 56 52 5 11 27 53 43 48 44 24 16 14 10 6 39 33 30 12 25 9 18 45 50 36 28 57 21 1 38 40 26 35 8 15 31 60 23 42 
59 13 43 4 5 51 18 58 17 14 9 25 53 49 35 42 46 15 26 44 24 22 33 2 28 32 6 45 3 48 30 56 36 40 37 60 38 27 12 29 23 10 8 1 50 11 16 54 55 39 20 34 47 7 41 57 21 52 31 19 
59 33 54 42 23 15 46 9 34 41 19 39 10 37 55 28 49 48 52 17 57 38 13 5 31 51 50 40 14 7 22 43 47 24 25 18 53 3 20 12 45 29 11 8 4 27 30 32 6 16 26 1 36 58 2 60 44 56 21 35 
3 13 20 9 41 15 29 54 23 27 52 49 55 7 60 37 45 48 17 2 39 40 24 50 42 1 25 46 10 5 16 53 14 4 12 34 33 30 18 35 22 28 58 44 43 32 11 19 21 36 26 6 51 38 8 47 56 59 57 31 
24 47 23 5 13 52 22 10 48 17 19 59 27 53 56 12 39 32 29 49 4 7 30 8 60 26 11 46 18 2 40 54 14 50 16 58 3 34 43 42 45 38 9 1 25 6 44 36 51 35 55 21 15 33 41 31 20 57 28 37 
22 60 21 49 11 39 54 57 2 35 55 1 48 9 40 31 56 5 16 24 42 58 41 28 20 13 47 6 34 51 25 38 30 4 32 10 17 18 3 23 59 14 37 44 50 7 26 53 33 36 27 15 19 29 46 8 52 12 43 45 
9 44 23 56 5 59 51 28 22 50 46 57 15 45 12 25 48 34 1 17 58 52 29 40 32 27 33 35 60 55 8 10 21 16 43 41 20 19 39 4 18 31 42 37 36 7 26 13 11 2 54 14 3 38 30 6 49 53 47 24 
20 18 8 46 3 31 47 42 10 50 48 36 53 29 12 13 16 51 28 58 30 9 22 38 11 56 54 7 19 57 59 40 2 43 21 45 34 24 6 41 17 25 49 5 26 52 60 32 37 23 15 39 33 4 44 35 27 14 1 55 
41 9 46 6 42 20 4 45 54 3 10 29 19 27 31 22 39 44 51 28 40 5 49 43 53 25 50 33 35 32 18 37 52 14 58 60 15 21 23 30 7 38 2 8 12 24 34 36 59 11 16 48 1 47 57 56 13 26 17 55 
44 16 43 12 39 20 30 25 31 1 7 35 27 51 55 58 21 52 28 47 33 46 10 26 42 4 2 45 57 17 15 8 22 23 3 36 14 40 54 19 32 29 50 18 6 24 13 53 41 56 48 38 11 49 5 9 60 37 59 34 
24 21 47 8 3 46 14 6 53 37 7 27 50 30 17 38 48 11 2 40 49 19 22 26 31 12 45 42 18 23 29 51 33 44 36 25 54 32 15 13 9 5 55 52 20 1 59 56 4 39 60 41 43 28 58 57 35 34 10 16 
32 10 6 34 60 7 39 26 12 41 8 56 23 36 5 15 14 9 2 54 40 58 20 52 53 59 11 29 50 42 47 21 22 1 28 19 13 57 30 48 27 31 33 25 55 24 44 3 38 16 4 37 46 35 17 49 18 51 43 45 
52 54 25 50 21 46 6 17 14 58 10 13 47 51 59 15 11 60 53 48 20 22 28 40 42 57 23 5 49 34 30 41 3 29 56 2 55 7 18 1 24 31 43 32 36 35 45 38 26 39 8 44 4 16 19 33 12 37 27 9 
59 6 56 52 45 55 2 27 8 23 19 1 28 14 11 24 42 60 39 58 13 43 36 54 35 49 26 40 37 7 3 33 47 32 22 10 29 20 57 48 53 46 5 15 44 12 31 34 18 41 51 16 38 25 9 4 30 21 50 17 
18 10 25 1 33 49 57 54 5 22 27 40 8 29 28 14 52 11 55 7 34 47 19 2 46 51 37 24 31 58 36 42 59 38 6 50 13 16 56 43 23 53 44 26 35 39 9 3 32 41 17 60 45 21 12 48 15 20 30 4 
59 1 35 43 22 40 2 27 49 16 21 30 31 18 14 45 47 6 41 55 19 57 13 46 4 25 37 23 24 28 42 53 48 15 33 20 60 50 51 34 44 52 54 39 8 5 17 11 10 7 29 12 58 56 32 3 38 26 9 36 
49 20 16 39 34 58 55 9 12 10 50 44 41 21 51 5 46 4 18 35 56 59 25 23 24 54 47 2 22 60 27 17 30 11 7 3 45 1 32 37 26 48 14 40 57 36 6 52 43 8 29 42 28 31 15 19 33 38 13 53 
51 4 21 57 23 55 43 47 8 35 53 52 44 28 29 20 30 27 7 6 33 13 2 24 26 59 36 49 34 56 38 22 1 15 3 37 58 25 16 14 12 11 40 48 42 50 9 41 17 54 5 31 46 10 45 18 39 19 32 60 
4 24 18 1 58 42 27 36 34 46 39 14 41 35 43 31 54 17 13 3 50 29 28 6 48 25 8 16 56 57 37 59 38 33 12 2 19 53 44 20 10 5 26 11 21 15 30 60 52 23 47 32 55 40 51 45 7 49 9 22 
1 30 21 52 6 56 23 42 15 8 35 38 4 29 27 10 51 54 41 59 33 19 16 32 12 24 49 55 9 50 43 34 20 11 45 25 57 44 37 46 3 22 2 14 47 53 48 13 36 5 58 31 28 40 60 18 17 7 39 26 
9 57 30 51 60 48 38 31 44 53 47 25 55 49 33 23 12 40 52 21 54 17 37 35 34 14 19 45 8 22 16 1 15 41 2 13 20 7 50 29 24 32 4 59 39 26 46 42 28 11 58 3 5 36 6 43 18 10 27 56 
42 53 8 28 3 57 10 50 38 5 46 43 35 59 7 15 39 56 27 22 26 31 24 25 54 47 37 6 16 41 44 13 33 29 12 23 21 30 19 51 18 4 1 48 34 36 14 45 60 11 49 32 55 40 58 52 9 17 20 2 
9 35 58 55 49 26 19 38 45 52 42 54 27 21 51 41 43 31 24 32 30 3 46 11 16 37 10 60 13 2 15 17 22 12 18 36 44 14 25 50 5 4 7 53 28 33 56 40 47 57 29 34 48 8 23 59 1 6 20 39 
8 16 20 12 13 29 21 57 58 33 35 25 15 17 56 60 14 59 26 52 11 30 3 41 39 45 10 4 5 48 7 44 24 27 37 28 23 46 6 51 36 9 31 19 18 54 53 42 50 55 49 47 32 1 40 34 2 43 38 22 
7 17 2 21 39 55 16 33 10 47 1 14 31 56 26 38 23 43 3 54 24 29 59 5 50 9 30 12 60 48 46 37 36 11 40 28 15 49 45 58 20 34 6 22 13 8 27 51 41 19 32 44 25 52 53 35 42 57 4 18 
46 50 36 18 8 32 51 16 10 24 26 7 45 56 15 41 39 25 53 29 28 17 12 19 60 55 21 2 9 1 3 43 5 59 42 23 54 48 11 44 52 14 58 37 30 13 38 4 6 40 20 22 49 33 27 47 35 31 57 34 
59 9 34 21 32 55 27 26 19 38 39 17 23 33 13 20 16 22 1 45 40 37 8 35 58 36 3 41 30 31 28 57 52 54 7 2 5 50 47 42 25 49 60 24 14 43 44 29 11 15 12 48 46 6 53 18 51 56 10 4 
56 57 26 45 33 30 51 52 53 43 5 19 12 39 1 13 25 47 27 23 20 41 15 2 7 17 42 32 4 10 44 35 34 36 49 48 29 9 24 3 60 28 31 21 11 50 8 6 59 58 38 22 18 54 16 46 37 40 14 55 
18 2 44 54 22 37 11 45 23 49 13 9 7 6 33 17 32 39 35 59 10 5 1 52 51 27 41 56 21 14 20 55 36 46 40 30 38 31 4 26 8 34 48 47 24 42 19 12 50 43 60 3 25 29 15 28 16 57 58 53 
50 16 45 60 23 47 36 49 34 54 11 57 12 33 18 1 29 9 41 46 21 13 30 25 26 44 35 48 19 28 15 55 20 5 24 51 58 52 43 27 2 6 32 31 10 8 14 40 22 56 59 3 39 7 37 38 17 53 4 42 
24 10 48 54 7 57 1 37 42 11 16 22 51 6 55 29 52 15 43 45 2 53 39 28 31 27 49 14 3 4 44 33 23 8 32 20 58 56 9 12 18 38 59 21 34 5 35 36 26 25 17 40 19 47 60 50 46 41 30 13 
26 54 18 34 36 47 32 43 2 58 45 20 23 42 59 53 5 51 33 44 39 46 57 31 40 29 50 3 22 19 49 28 52 13 37 27 10 8 60 25 21 6 14 9 56 11 55 30 38 35 16 41 15 24 48 12 7 17 1 4 
27 7 52 48 20 3 5 41 19 28 51 37 2 60 15 21 30 38 55 44 22 33 39 14 54 46 57 16 42 35 32 24 29 13 23 34 45 11 1 26 25 43 50 18 58 40 10 49 56 17 9 4 6 53 59 12 8 47 31 36 
28 27 5 54 24 37 4 17 47 42 45 44 48 16 51 31 2 53 3 7 13 40 1 59 26 32 11 46 20 58 6 39 12 56 19 36 29 49 57 8 43 21 23 52 9 33 25 50 41 10 34 55 60 15 18 38 35 22 30 14 
5 18 24 10 43 17 60 11 6 2 37 3 19 9 31 48 13 35 57 46 33 1 20 7 32 12 8 25 50 47 4 54 40 52 34 38 44 42 21 51 26 14 45 27 58 56 49 16 22 29 23 28 36 55 30 39 59 41 53 15 
12 16 32 21 23 28 47 52 41 14 49 34 39 57 44 46 50 59 22 25 60 33 2 35 53 55 40 43 37 6 26 8 17 4 24 27 30 51 42 20 31 18 3 58 38 11 54 9 29 5 15 48 10 56 45 1 13 36 7 19 
60 27 50 44 47 57 12 53 11 33 17 21 58 15 6 25 20 22 18 51 54 49 7 14 10 32 3 46 41 55 23 2 29 30 34 31 4 8 1 45 43 59 28 56 52 13 16 38 35 9 36 5 48 24 40 37 39 26 42 19 
55 1 54 27 30 36 39 48 52 8 13 32 10 9 37 3 40 24 58 56 6 15 4 26 53 17 38 29 60 22 45 47 46 23 25 11 33 18 20 59 50 41 34 57 16 42 44 12 43 31 49 5 21 14 35 2 51 19 7 28 
44 34 21 33 1 17 2 47 51 46 24 22 56 4 60 50 6 39 55 52 13 54 23 19 27 20 14 35 8 41 26 36 58 16 9 42 43 3 12 15 11 5 59 57 40 53 38 32 45 49 37 18 29 30 25 31 10 7 28 48 
9 10 57 49 52 27 33 59 16 45 24 13 58 54 4 41 31 50 21 23 40 37 20 47 48 1 42 6 38 12 17 30 22 32 51 14 11 60 46 15 39 43 44 35 18 29 53 56 3 2 25 7 36 34 19 8 28 26 55 5 
59 18 50 51 36 49 29 60 53 46 30 52 47 13 4 7 16 41 14 9 39 3 55 19 32 6 57 44 10 28 17 1 33 21 8 25 58 31 12 27 56 15 45 34 42 11 54 22 24 38 40 2 20 5 43 26 35 48 23 37 
22 52 59 46 21 4 38 53 58 26 2 20 50 13 42 57 31 28 55 19 29 6 15 25 18 35 1 23 56 11 43 32 10 33 47 12 45 16 36 54 51 14 39 30 17 49 48 34 44 24 41 40 3 5 8 60 9 7 27 37 
29 50 27 30 16 58 55 15 35 3 41 46 42 12 7 9 57 59 40 31 8 5 39 18 34 19 60 21 22 38 26 51 32 17 47 43 10 45 53 37 36 54 11 28 48 33 49 44 23 14 20 52 24 4 13 6 56 1 2 25 
45 14 32 35 16 8 37 53 36 46 9 18 11 34 41 15 4 6 5 22 42 7 2 58 33 26 3 60 43 29 52 39 28 54 23 59 1 57 31 24 49 48 27 19 51 21 47 38 10 12 30 40 17 56 20 13 44 50 55 25 
57 42 41 9 40 56 28 37 60 44 13 1 29 58 54 36 25 50 10 22 27 17 24 12 8 2 21 31 6 55 19 59 51 20 46 15 52 35 49 32 11 5 3 30 43 38 7 33 26 48 4 14 23 47 39 45 34 53 16 18 
54 31 11 2 49 29 59 39 16 46 55 26 25 45 51 4 42 14 60 22 12 10 23 34 20 21 17 1 8 7 41 57 13 40 48 37 30 5 9 28 35 32 33 50 15 58 27 19 36 44 6 38 18 56 52 3 43 47 53 24 
23 41 43 4 34 57 26 50 5 54 51 44 40 60 38 12 30 20 13 16 10 39 1 36 6 48 11 29 55 8 52 9 47 56 2 24 53 45 14 15 21 18 58 31 27 46 28 59 22 7 3 19 32 49 42 37 35 17 33 25 
58 44 55 54 11 51 22 50 20 6 53 7 26 41 13 23 47 1 30 24 9 46 49 59 43 33 36 19 18 27 32 14 5 21 12 25 40 56 34 31 35 17 8 16 57 52 42 10 15 48 37 45 29 28 38 39 2 3 60 4 
38 52 45 49 50 30 26 15 16 36 8 43 37 6 54 48 56 60 17 40 59 21 29 44 28 13 2 19 12 9 35 41 32 7 4 25 23 55 39 58 34 14 11 1 31 18 10 27 53 47 5 22 3 57 51 33 46 24 42 20 
33 30 20 32 49 5 41 27 22 11 21 52 34 13 60 43 14 28 50 59 4 8 3 18 12 37 45 51 16 6 54 47 46 15 31 23 53 25 10 56 38 2 29 26 1 39 17 24 57 44 58 9 19 7 55 36 35 48 40 42 
6 24 46 8 32 40 54 18 21 49 4 35 14 57 33 29 56 3 7 2 51 48 11 34 52 28 38 13 17 43 41 9 36 12 58 45 50 42 5 55 37 30 16 59 22 23 10 15 47 53 26 19 25 27 20 1 39 60 44 31 
1 10 19 23 16 22 43 39 40 60 15 3 46 7 11 50 55 45 35 37 42 2 29 30 58 48 18 32 59 4 28 53 12 34 17 52 54 47 27 13 25 51 26 49 14 21 38 36 41 24 8 44 56 20 6 9 31 33 57 5 
57 19 10 20 36 4 51 21 17 50 25 56 31 24 22 48 18 32 16 46 33 8 49 14 55 34 60 28 37 47 12 54 11 35 40 30 26 39 15 1 44 2 9 41 45 38 58 52 5 29 27 7 6 53 43 3 42 23 13 59 
